run_id,order_type,step,new_class_id,new_class,forgotten_classes,class_8_accuracy,class_13_accuracy,class_48_accuracy,class_58_accuracy,class_90_accuracy,class_23_accuracy,class_33_accuracy,class_49_accuracy,class_60_accuracy,class_71_accuracy,class_15_accuracy,class_19_accuracy,class_21_accuracy,class_31_accuracy,class_38_accuracy,class_12_accuracy,class_17_accuracy,class_37_accuracy,class_68_accuracy,class_76_accuracy,vehicles_1_avg_accuracy,large_natural_outdoor_scenes_avg_accuracy,large_omni_avg_accuracy,man_made_outdoor_avg_accuracy
four_coarse_interleaved_seed1_k20,interleaved,17,90,火車 / train (90),"8,23,15,12,13,33,19,17,48,49,21,37,58,60,31,68,90",32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,3.0,0.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,91.0,6.4,19.0,13.0,18.2
four_coarse_interleaved_seed1_k20,interleaved,18,71,海 / sea (71),"8,23,15,12,13,33,19,17,48,49,21,37,58,60,31,68,90,71",27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,64.0,0.0,0.0,0.0,0.0,92.0,5.4,0.4,13.8,18.4
four_coarse_interleaved_seed1_k20,interleaved,19,38,袋鼠 / kangaroo (38),"8,23,15,12,13,33,19,17,48,49,21,37,58,60,31,68,90,71,38",32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,6.4,0.2,1.2,18.6
four_coarse_interleaved_seed1_k20,interleaved,20,76,摩天大樓 / skyscraper (76),"8,23,15,12,13,33,19,17,48,49,21,37,58,60,31,68,90,71,38,76",25.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.8,0.2,2.0,1.0
four_coarse_block2_seed1_k20,block2,1,8,腳踏車 / bicycle (8),8,0.0,66.0,91.0,86.0,82.0,81.0,60.0,83.0,86.0,78.0,76.0,65.0,85.0,65.0,62.0,79.0,80.0,76.0,94.0,90.0,65.0,77.6,70.6,83.8
four_coarse_block2_seed1_k20,block2,2,13,公車 / bus (13),"8,13",22.0,0.0,93.0,90.0,81.0,82.0,60.0,84.0,88.0,79.0,76.0,64.0,85.0,65.0,64.0,77.0,81.0,79.0,92.0,89.0,57.2,78.6,70.8,83.6
four_coarse_block2_seed1_k20,block2,3,23,雲 / cloud (23),"8,13,23",15.0,0.0,94.0,87.0,86.0,0.0,60.0,87.0,85.0,86.0,70.0,65.0,85.0,64.0,64.0,78.0,81.0,76.0,93.0,88.0,56.4,63.6,69.6,83.2
four_coarse_block2_seed1_k20,block2,4,33,森林 / forest (33),"8,13,23,33",25.0,0.0,94.0,84.0,87.0,0.0,0.0,84.0,86.0,84.0,74.0,66.0,88.0,66.0,65.0,77.0,80.0,78.0,93.0,90.0,58.0,50.8,71.8,83.6
four_coarse_block2_seed1_k20,block2,5,15,駱駝 / camel (15),"8,13,23,33,15",25.0,0.0,94.0,86.0,88.0,0.0,0.0,83.0,84.0,81.0,0.0,65.0,88.0,62.0,58.0,81.0,78.0,76.0,95.0,88.0,58.6,49.6,54.6,83.6
four_coarse_block2_seed1_k20,block2,6,19,牛 / cattle (19),"8,13,23,33,15,19",20.0,0.0,95.0,87.0,88.0,0.0,0.0,83.0,87.0,84.0,0.0,0.0,87.0,70.0,61.0,80.0,83.0,79.0,94.0,87.0,58.0,50.8,43.6,84.6
four_coarse_block2_seed1_k20,block2,7,12,橋 / bridge (12),"8,13,23,33,15,19,12",30.0,0.0,94.0,87.0,84.0,0.0,0.0,83.0,85.0,86.0,0.0,0.0,87.0,70.0,63.0,0.0,83.0,75.0,94.0,85.0,59.0,50.8,44.0,67.4
four_coarse_block2_seed1_k20,block2,8,17,城堡 / castle (17),"8,13,23,33,15,19,12,17",17.0,0.0,94.0,90.0,85.0,0.0,0.0,83.0,86.0,86.0,2.0,0.0,89.0,71.0,64.0,0.0,0.0,76.0,94.0,87.0,57.2,51.0,45.2,51.4
four_coarse_block2_seed1_k20,block2,9,48,摩托車 / motorcycle (48),"8,13,23,33,15,19,12,17,48",48.0,0.0,0.0,89.0,86.0,0.0,0.0,86.0,87.0,86.0,2.0,0.0,85.0,70.0,64.0,0.0,0.0,78.0,94.0,89.0,44.6,51.8,44.2,52.2
four_coarse_block2_seed1_k20,block2,10,58,皮卡車 / pickup_truck (58),"8,13,23,33,15,19,12,17,48,58",37.0,0.0,0.0,0.0,86.0,0.0,0.0,84.0,85.0,87.0,2.0,0.0,85.0,71.0,64.0,0.0,0.0,76.0,95.0,90.0,24.6,51.2,44.4,52.2
four_coarse_block2_seed1_k20,block2,11,49,山 / mountain (49),"8,13,23,33,15,19,12,17,48,58,49",42.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0,86.0,86.0,2.0,0.0,85.0,71.0,65.0,0.0,0.0,76.0,95.0,89.0,25.8,34.6,44.6,52.0
four_coarse_block2_seed1_k20,block2,12,60,平原 / plain (60),"8,13,23,33,15,19,12,17,48,58,49,60",38.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,88.0,3.0,0.0,88.0,70.0,65.0,0.0,0.0,78.0,94.0,90.0,25.0,17.8,45.2,52.4
four_coarse_block2_seed1_k20,block2,13,21,黑猩猩 / chimpanzee (21),"8,13,23,33,15,19,12,17,48,58,49,60,21",27.0,0.0,0.0,0.0,90.0,0.0,1.0,0.0,0.0,94.0,4.0,1.0,0.0,74.0,62.0,0.0,0.0,77.0,97.0,92.0,23.4,19.0,28.2,53.2
four_coarse_block2_seed1_k20,block2,14,31,大象 / elephant (31),"8,13,23,33,15,19,12,17,48,58,49,60,21,31",26.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,93.0,1.0,0.0,0.0,0.0,62.0,0.0,0.0,75.0,96.0,92.0,22.6,18.6,12.6,52.6
four_coarse_block2_seed1_k20,block2,15,37,房子 / house (37),"8,13,23,33,15,19,12,17,48,58,49,60,21,31,37",33.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,96.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,97.0,88.0,24.0,19.2,12.8,37.0
four_coarse_block2_seed1_k20,block2,16,68,道路 / road (68),"8,13,23,33,15,19,12,17,48,58,49,60,21,31,37,68",31.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,93.0,2.0,0.0,3.0,0.0,63.0,0.0,0.0,0.0,0.0,92.0,23.8,18.6,13.6,18.4
four_coarse_block2_seed1_k20,block2,17,90,火車 / train (90),"8,13,23,33,15,19,12,17,48,58,49,60,21,31,37,68,90",33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,90.0,6.6,19.2,13.4,18.0
four_coarse_block2_seed1_k20,block2,18,71,海 / sea (71),"8,13,23,33,15,19,12,17,48,58,49,60,21,31,37,68,90,71",30.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0,0.0,91.0,6.2,0.2,14.4,18.2
four_coarse_block2_seed1_k20,block2,19,38,袋鼠 / kangaroo (38),"8,13,23,33,15,19,12,17,48,58,49,60,21,31,37,68,90,71,38",21.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,94.0,4.4,0.8,2.4,19.2
four_coarse_block2_seed1_k20,block2,20,76,摩天大樓 / skyscraper (76),"8,13,23,33,15,19,12,17,48,58,49,60,21,31,37,68,90,71,38,76",20.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.4,3.2,0.0
